VIN,Model,Trim,MSRP,Year,Term,ModelNumber,ModelDescription,LeaseCash,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Residual
,,,,2026,48,74452AEZ,SEL AWD,9000,0.00229,0.00229,0.00249,0.00266,0.00292,0.00306,0.0032,-,0.46
,,,,2026,48,74472AEZ,Performance Limited AWD,9000,0.00246,0.00246,0.00266,0.00283,0.00309,0.00323,0.00337,-,0.46
,,,,2026,48,74492AEZ,Performance Calligraphy AWD,9000,0.00275,0.00275,0.00295,0.00312,0.00338,0.00352,0.00366,-,0.45
,,,,2026,48,744A2AEZ,Performance    Calligraphy    Design AWD,9000,0.00291,0.00291,0.00311,0.00328,0.00354,0.00368,0.00382,-,0.45
,,,,2025,24,Q1402A45,4dr Wgn SE,1250,0.00222,0.00222,0.00235,0.00248,0.00261,0.00275,0.00296,-,0.69
,,,,2025,24,Q1402F45,4dr Wgn SE,2000,0.00216,0.00216,0.00229,0.00242,0.00255,0.00269,0.0029,-,0.65
,,,,2025,24,Q1432A45,4dr Wgn SEL,1000,0.00211,0.00211,0.00224,0.00237,0.0025,0.00264,0.00285,-,0.69
,,,,2025,24,Q1432F45,4dr Wgn SEL,1750,0.00226,0.00226,0.00239,0.00252,0.00265,0.00279,0.003,-,0.66
,,,,2025,24,Q1442A45,4dr Wgn SEL Convenience,1250,0.00218,0.00218,0.00231,0.00244,0.00257,0.00271,0.00292,-,0.69
,,,,2025,24,Q1442F45,4dr Wgn SEL Convenience,1000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.7
,,,,2025,24,Q1452AT5,4dr Wgn N Line S,2000,0.00223,0.00223,0.00236,0.00249,0.00262,0.00276,0.00297,-,0.67
,,,,2025,24,Q1452FT5,4dr Wgn N Line S,2000,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.66
,,,,2025,24,Q1462AT5,4dr Wgn N Line,1750,0.0022,0.0022,0.00233,0.00246,0.00259,0.00273,0.00294,-,0.69
,,,,2025,24,Q1462FT5,4dr Wgn N Line,1250,0.00232,0.00232,0.00271,0.00284,0.00297,0.00311,0.00332,-,0.7
,,,,2025,24,Q1492AT5,4dr Wgn Limited,1000,0.0023,0.0023,0.00243,0.00256,0.00269,0.00283,0.00304,-,0.73
,,,,2025,24,Q1492FT5,4dr Wgn Limited,1250,0.00226,0.00226,0.00239,0.00252,0.00265,0.00279,0.003,-,0.71
,,,,2025,36,Q1402A45,4dr Wgn SE,1500,0.00246,0.00246,0.00264,0.00277,0.00295,0.00308,0.00315,-,0.61
,,,,2025,36,Q1402F45,4dr Wgn SE,2000,0.00257,0.00257,0.00275,0.00288,0.00306,0.00319,0.00326,-,0.59
,,,,2025,36,Q1432A45,4dr Wgn SEL,1500,0.00245,0.00245,0.00263,0.00276,0.00294,0.00307,0.00314,-,0.61
,,,,2025,36,Q1432F45,4dr Wgn SEL,2000,0.00254,0.00254,0.00272,0.00285,0.00303,0.00316,0.00323,-,0.59
,,,,2025,36,Q1442A45,4dr Wgn SEL Convenience,1750,0.0025,0.0025,0.00268,0.00281,0.00299,0.00312,0.00319,-,0.62
,,,,2025,36,Q1442F45,4dr Wgn SEL Convenience,1750,0.00244,0.00244,0.00262,0.00275,0.00293,0.00306,0.00313,-,0.6
,,,,2025,36,Q1452AT5,4dr Wgn N Line S,2000,0.00248,0.00248,0.00266,0.00279,0.00297,0.0031,0.00317,-,0.6
,,,,2025,36,Q1452FT5,4dr Wgn N Line S,1250,0.00258,0.00258,0.00312,0.00325,0.00343,0.00356,0.00363,-,0.63
,,,,2025,36,Q1462AT5,4dr Wgn N Line,1750,0.00259,0.00259,0.00277,0.0029,0.00308,0.00321,0.00328,-,0.62
,,,,2025,36,Q1462FT5,4dr Wgn N Line,1500,0.00251,0.00251,0.00269,0.00282,0.003,0.00313,0.0032,-,0.62
